#######################,###### LOG FILE #######,#######################
2008-09-29 10:39:42
#######################,#######################,#######################
Idade:, 62
Altura:, 1.75
Peso:, 75
Sexo:, Masculino
Actividade:, Caminhar
#######################,#######################,#######################

X,Y,Z
49,510,512
349,504,494
324,545,498
323,512,510
355,524,501
352,556,493
322,543,475
332,525,534
370,511,521
327,525,506
360,546,524
340,539,515
340,536,517
325,552,508
313,586,560
369,507,482
321,540,521
355,521,502
355,518,508
346,539,469
358,534,456
273,489,512
403,561,531
311,472,474
370,547,514
348,542,502
358,538,495
344,590,494
302,594,531
376,477,495
289,549,510
359,530,499
381,525,480
353,549,475
337,547,446
256,494,537
369,560,543
358,550,515
362,548,508
349,540,491
343,527,485
271,594,543
415,492,509
280,568,526
377,507,513
350,517,486
351,536,491
337,549,458
275,505,517
383,522,529
321,494,496
368,570,516
355,545,491
330,542,501
358,546,499
291,520,478
344,569,549
370,506,470
306,564,534
354,529,463
326,537,441
275,493,524
403,539,517
353,557,520
357,533,508
346,554,507
330,526,481
288,562,512
363,485,503
304,566,532
372,509,500
348,516,511
322,542,468
313,518,457
310,513,532
401,522,510
311,512,524
361,553,512
346,544,513
347,532,502
370,549,495
308,520,489
331,585,535
333,515,527
313,545,502
357,517,488
351,538,465
329,522,450
299,519,501
366,539,501
349,512,533
335,526,493
357,546,503
348,537,492
313,514,475
273,502,467
317,527,562
384,513,451
276,567,508
375,506,487
359,535,492
325,524,466
360,552,448
301,505,499
374,549,524
303,475,475
370,560,520
354,544,507
337,534,500
358,545,482
292,589,532
333,486,530
333,544,512
358,531,511
351,506,489
370,521,494
319,522,471
252,543,515
361,539,496
345,514,523
348,535,506
367,540,503
337,540,493
337,528,474
270,533,515
338,507,554
355,551,483
345,537,511
344,497,487
360,527,499
347,544,497
324,549,463
369,507,534
311,498,494
357,549,525
361,531,522
349,529,497
345,530,488
291,552,517
382,469,504
337,555,529
359,505,500
352,540,517
359,544,495
310,549,464
308,503,544
404,543,546
324,500,505
350,549,543
357,547,525
342,552,526
358,567,515
323,555,549
366,454,501
314,565,545
377,515,502
338,529,441
256,522,500
365,538,515
372,512,525
312,516,502
343,540,517
343,552,500
339,553,504
305,534,508
315,548,536
380,523,503
316,551,533
368,531,485
342,561,510
307,482,460
362,525,538
314,515,482
370,549,515
347,548,503
348,534,492
291,567,524
368,524,497
351,545,471
314,546,470
263,478,505
367,545,519
319,495,511
337,535,501
334,545,490
343,508,456
364,528,490
356,528,473
236,490,507
381,531,519
339,502,531
361,516,506
343,545,494
348,534,504
326,531,459
376,474,480
305,579,541
379,516,481
355,546,484
331,543,513
320,561,497
325,486,466
375,519,519
382,559,522
320,501,496
331,525,502
358,558,550
354,469,458
351,492,508
336,524,504
352,508,485
355,513,496
340,578,462
338,487,537
334,527,517
354,528,510
335,548,504
356,537,499
333,523,487
289,546,516
383,460,524
318,587,527
383,517,475
354,543,471
374,533,461
327,532,431
288,464,483
392,524,541
321,515,481
356,562,521
333,543,493
358,513,482
326,557,490
288,547,532
339,470,503
332,561,507
375,523,482
371,526,463
368,553,467
334,543,436
298,540,524
375,517,521
345,516,482
347,543,502
344,534,484
339,547,504
313,553,509
268,521,535
