#######################,###### LOG FILE #######,#######################
2008-11-20 16:37:35
#######################,#######################,#######################
Idade:, 24
Altura:, 1.64
Peso:, 60
Sexo:, Feminino
Actividade:, Cair para a esquerda
#######################,#######################,#######################

X,Y,Z
82,495,432
376,530,461
372,513,461
316,565,469
341,559,417
468,577,460
392,312,238
490,653,555
520,574,437
619,474,438
612,386,498
510,615,497
700,311,464
526,439,453
548,401,417
539,390,431
544,422,425
524,378,420
528,415,427
533,387,422
538,424,425
535,412,408
528,422,407
537,413,431
560,402,407
