#######################,###### LOG FILE #######,#######################
2008-09-30 20:18:27
#######################,#######################,#######################
Idade:, 12
Altura:, 1.56
Peso:, 55
Sexo:, Masculino
Actividade:, Deitar
#######################,#######################,#######################

X,Y,Z
92,524,482
423,597,522
366,580,408
366,533,416
439,441,380
116,322,285
410,427,454
463,465,450
411,370,407
448,329,456
438,358,491
444,420,491
503,314,476
543,486,600
453,354,544
478,412,520
469,384,486
442,387,496
457,384,506
462,388,508
473,383,508
460,375,488
448,404,509
439,387,514
450,376,497
