#######################,###### LOG FILE #######,#######################
2008-09-26 13:40:00
#######################,#######################,#######################
Idade:, 31
Altura:, 1.74
Peso:, 72
Sexo:, Masculino
Actividade:, Cair para tras
#######################,#######################,#######################

X,Y,Z
85,529,503
351,553,504
336,564,510
362,575,505
372,574,502
402,572,505
383,541,489
411,539,481
443,509,508
438,413,493
0,24,326
441,431,496
527,387,564
550,425,540
577,295,573
504,400,539
503,445,516
388,435,515
438,400,499
411,324,529
476,404,505
442,369,507
452,379,504
424,396,503
439,363,500
444,385,504
450,375,507
439,382,500
441,384,504
440,387,500
437,388,488
429,395,499
