#######################,###### LOG FILE #######,#######################
2009-01-22 17:47:27
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 50
Sexo:, Feminino
Actividade:, Cair para a esquerda
#######################,#######################,#######################

X,Y,Z
506,496,346
516,519,349
510,500,352
505,464,363
524,539,343
488,522,337
522,489,354
496,486,359
493,497,355
502,505,348
486,504,355
501,478,357
507,495,346
496,480,353
491,477,365
495,458,358
502,499,369
489,502,351
486,495,354
497,501,351
504,472,345
489,483,352
523,477,346
494,488,351
513,500,351
504,486,351
483,502,346
