#######################,###### LOG FILE #######,#######################
2008-11-20 16:08:28
#######################,#######################,#######################
Idade:, 24
Altura:, 1.64
Peso:, 56
Sexo:, Feminino
Actividade:, Correr
#######################,#######################,#######################

X,Y,Z
319,522,500
422,547,519
224,615,468
338,561,448
361,480,521
249,533,456
341,534,559
548,571,506
266,588,675
214,487,438
539,441,493
461,571,647
106,478,536
360,584,564
529,526,501
326,461,562
41,473,493
533,470,593
510,580,603
0,377,488
314,494,560
516,559,518
327,412,681
0,607,511
547,529,581
22,622,974
266,582,459
462,544,546
407,418,695
0,588,359
581,493,552
125,667,856
174,625,426
502,526,530
527,499,562
0,741,390
551,496,483
282,634,531
50,585,606
348,596,538
577,486,494
362,532,612
0,506,449
419,490,491
491,507,504
190,530,306
316,544,429
323,598,506
432,516,473
320,541,440
212,646,450
364,558,528
