#######################,###### LOG FILE #######,#######################
2008-09-26 14:04:51
#######################,#######################,#######################
Idade:, 41
Altura:, 1.58
Peso:, 69
Sexo:, Feminino
Actividade:, Correr
#######################,#######################,#######################

X,Y,Z
82,469,480
350,489,481
345,484,479
347,487,482
346,487,480
347,488,478
349,487,479
349,486,477
345,486,479
347,487,479
351,490,479
350,488,477
347,485,477
347,484,480
348,487,480
348,488,478
347,483,477
346,482,474
352,483,472
348,485,479
347,486,477
348,485,476
347,485,477
355,475,492
348,497,494
346,485,493
351,475,471
346,526,475
342,511,487
339,505,502
348,459,451
363,475,434
353,471,428
384,484,425
361,479,471
379,480,486
319,497,474
358,516,442
383,494,490
284,465,436
388,464,453
414,516,480
379,457,559
306,479,470
361,508,454
434,502,483
249,382,396
396,471,423
446,561,470
327,438,480
259,575,460
363,522,456
411,482,491
308,429,426
383,480,417
416,542,472
445,467,538
318,502,498
369,510,464
373,501,489
311,417,410
377,472,423
408,499,480
332,403,436
324,526,473
443,525,507
339,430,442
366,463,442
393,471,457
391,446,438
365,442,526
322,510,515
335,539,468
334,477,446
347,496,459
300,398,395
445,549,457
421,491,477
313,557,487
313,487,451
342,527,468
312,465,498
193,502,435
367,517,461
440,456,490
387,529,560
302,479,445
357,507,456
384,507,568
226,454,454
342,509,441
408,470,458
371,486,523
337,483,452
367,513,449
434,536,487
353,514,446
420,491,455
367,515,503
307,479,458
370,523,462
370,498,536
228,399,441
356,517,474
371,507,462
318,492,439
238,491,425
333,403,390
485,526,449
282,529,422
442,495,461
478,478,541
261,615,533
288,541,419
370,537,474
312,512,522
279,536,508
365,491,499
417,473,519
424,492,551
310,532,451
332,521,476
325,461,457
388,471,475
381,460,468
410,492,499
294,510,449
310,507,447
447,514,510
282,456,427
319,491,433
451,495,476
279,437,440
443,540,500
349,403,453
300,483,394
394,396,402
392,425,488
365,563,461
382,502,431
315,441,428
377,472,440
385,488,413
428,495,498
293,448,405
368,532,443
483,508,494
274,442,402
329,496,401
398,470,468
416,500,501
344,459,507
360,524,435
440,524,517
355,434,483
309,465,413
456,498,468
284,415,323
311,466,468
318,526,454
281,344,416
336,525,414
450,489,439
123,390,379
289,404,431
343,485,459
398,511,520
318,445,397
311,446,413
396,481,449
371,507,445
353,480,492
302,511,467
352,527,465
359,520,462
393,484,453
250,492,397
399,473,453
420,484,473
251,502,410
330,521,438
380,500,535
197,473,429
353,511,454
354,484,415
401,480,530
352,509,484
380,552,483
357,411,429
256,466,412
332,480,490
309,531,451
345,531,429
342,489,506
224,454,440
387,537,446
458,461,513
318,533,473
281,518,432
413,521,555
339,530,433
420,491,467
342,470,467
291,456,403
380,536,467
426,507,479
313,420,439
415,514,469
410,496,506
155,476,270
317,506,481
358,503,477
346,528,489
286,445,422
360,512,463
392,483,505
409,546,561
318,484,431
301,499,488
326,450,425
430,490,472
388,472,471
302,523,412
358,536,477
374,492,462
222,495,400
354,501,455
389,455,444
425,513,524
302,448,434
352,514,456
432,537,506
324,404,442
315,515,414
399,450,496
270,468,434
287,526,439
369,526,469
382,509,497
227,511,420
406,458,463
422,504,543
296,469,416
360,498,434
433,536,506
354,421,459
294,503,413
437,480,453
412,394,507
245,613,453
329,521,440
360,522,461
386,503,511
257,530,457
348,500,475
377,482,501
295,409,436
259,502,410
327,497,483
368,499,496
338,463,482
302,464,436
406,481,472
379,436,499
278,523,492
348,487,474
372,472,436
300,483,432
268,442,441
344,521,452
368,458,415
393,500,534
330,467,453
390,517,456
416,496,508
307,424,492
306,455,432
344,481,563
357,522,456
343,520,476
367,477,476
318,411,442
410,487,461
338,484,402
205,480,449
303,509,452
259,433,394
417,482,467
275,546,417
312,559,438
363,542,433
249,531,503
327,509,469
415,501,502
417,434,503
223,522,433
309,492,463
329,519,468
365,506,542
318,468,479
299,459,429
431,505,471
405,481,485
295,511,458
345,552,436
364,502,542
266,485,475
397,474,469
401,497,472
332,502,394
367,484,460
366,451,434
342,508,481
335,505,482
386,475,450
403,489,457
361,498,433
357,499,415
354,480,442
336,473,454
345,513,470
353,519,463
351,495,462
350,495,473
343,506,483
345,488,475
352,480,469
355,482,467
350,482,470
357,480,466
358,485,457
371,480,461
344,468,449
352,474,453
342,499,477
357,491,469
359,490,477
361,483,474
355,494,484
343,492,487
