#######################,###### LOG FILE #######,#######################
2009-01-22 17:56:08
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 53
Sexo:, Masculino
Actividade:, Cair para a direita
#######################,#######################,#######################

X,Y,Z
497,559,436
523,463,187
683,492,81
636,480,404
530,443,444
523,515,448
482,451,333
469,415,332
450,410,339
506,554,400
515,513,350
526,515,351
536,513,362
516,504,350
506,495,350
495,499,349
470,625,414
555,575,398
534,551,360
505,524,345
507,519,346
513,519,343
497,508,347
515,504,354
498,516,353
501,505,353
507,519,354
498,501,358
506,496,353
504,507,349
503,505,348
507,509,352
501,510,339
514,515,350
511,510,346
501,503,345
504,510,357
501,504,339
495,513,346
500,507,350
497,501,350
513,507,349
494,501,350
501,514,353
