#######################,###### LOG FILE #######,#######################
2008-11-20 15:13:37
#######################,#######################,#######################
Idade:, 22
Altura:, 1.87
Peso:, 85
Sexo:, Masculino
Actividade:, Sentar
#######################,#######################,#######################

X,Y,Z
97,503,513
330,542,510
346,534,509
364,533,503
347,520,515
326,506,501
329,544,480
363,514,478
353,505,494
365,512,506
328,496,487
317,503,498
349,509,494
348,506,482
331,507,489
332,502,472
338,502,472
343,508,464
348,520,445
314,537,425
385,528,395
396,535,388
401,529,378
405,545,376
390,540,378
387,540,384
384,540,389
409,542,381
408,537,376
407,536,378
416,545,382
385,522,370
396,535,380
394,537,378
405,537,377
405,540,381
398,538,380
397,539,385
417,543,380
385,545,380
391,542,383
400,548,385
