#######################,###### LOG FILE #######,#######################
2009-01-22 17:45:42
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 50
Sexo:, Feminino
Actividade:, Levantar depois de Sentar
#######################,#######################,#######################

X,Y,Z
93,542,469
346,576,466
362,580,491
378,573,488
368,558,476
376,583,494
344,541,468
371,589,484
355,509,464
345,549,473
341,538,483
346,537,485
349,531,492
342,552,481
327,538,480
336,538,485
344,539,491
335,541,493
343,540,488
340,536,481
337,527,481
348,546,490
325,536,484
346,541,486
339,548,495
351,525,493
337,525,479
333,544,487
327,549,490
340,542,496
339,539,492
338,534,492
342,547,491
338,545,499
334,538,492
340,533,494
333,526,485
332,533,485
332,548,492
359,556,497
334,545,497
340,541,491
344,545,495
340,538,490
344,543,493
334,538,480
347,545,495
340,539,493
334,545,489
344,562,499
340,538,487
343,549,492
343,536,492
345,546,488
336,549,489
342,539,490
343,549,491
340,543,490
343,544,493
343,548,493
338,547,489
340,537,496
340,545,491
346,545,488
342,540,490
342,546,491
346,546,496
344,544,487
341,546,491
330,537,490
339,539,489
346,548,495
340,541,486
341,547,494
343,544,490
341,544,491
343,545,487
341,541,491
341,540,488
339,544,485
347,547,494
341,542,491
341,547,490
339,550,492
347,546,493
344,544,491
338,547,490
336,546,486
345,538,489
344,538,490
350,544,487
