#######################,###### LOG FILE #######,#######################
2009-01-15 17:54:16
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 51
Sexo:, Feminino
Actividade:, Cair para a frente
#######################,#######################,#######################

X,Y,Z
99,483,483
394,486,497
385,502,512
467,546,526
587,542,474
633,0,1017
565,379,621
528,432,560
522,439,567
526,397,597
509,377,624
508,420,584
514,406,599
521,393,611
508,405,596
501,397,610
510,391,612
501,389,608
483,407,589
493,392,555
502,373,581
481,387,561
464,391,522
474,395,522
441,320,517
462,378,538
455,374,546
460,379,544
455,387,558
462,383,555
465,375,547
465,368,546
461,380,542
466,372,547
458,387,546
465,384,548
443,384,533
447,381,538
