#######################,###### LOG FILE #######,#######################
2009-01-22 18:04:10
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 54
Sexo:, Masculino
Actividade:, Correr
#######################,#######################,#######################

X,Y,Z
95,456,476
507,520,523
0,651,343
254,555,503
492,518,492
499,560,505
7,662,516
386,509,479
528,497,490
393,573,453
261,555,428
384,520,483
527,555,514
24,689,361
262,489,459
483,552,533
213,489,460
329,543,495
306,497,429
464,490,517
67,376,328
328,539,490
551,594,583
271,530,431
438,512,499
499,541,509
277,610,523
529,511,499
217,487,457
455,457,503
532,516,526
0,558,460
243,521,478
497,565,521
509,527,525
216,556,471
418,433,465
536,516,510
217,676,505
207,530,452
467,576,501
508,522,535
0,821,673
372,482,444
508,514,492
444,540,509
298,539,451
369,510,476
539,584,539
0,646,216
215,488,448
471,491,493
506,510,538
0,591,464
247,560,483
507,561,531
438,594,555
218,473,475
531,486,513
245,538,492
494,571,510
492,577,547
248,586,480
438,480,482
290,626,390
219,564,471
458,538,503
523,507,510
0,772,554
353,462,461
478,564,495
470,551,506
270,474,428
508,547,509
364,608,524
95,472,415
450,482,478
533,520,527
0,466,550
281,551,503
484,539,517
456,579,581
216,517,446
399,462,456
540,498,516
56,618,448
243,490,473
493,565,507
503,567,569
45,629,475
368,468,476
520,472,492
265,690,520
343,633,515
479,444,492
136,328,351
248,716,601
376,508,534
413,521,481
287,528,496
339,535,512
380,550,516
