#######################,###### LOG FILE #######,#######################
2008-09-26 18:12:10
#######################,#######################,#######################
Idade:, 22
Altura:, 1.87
Peso:, 91
Sexo:, Masculino
Actividade:, Cair para a frente
#######################,#######################,#######################

X,Y,Z
50,518,453
354,559,461
356,557,465
354,562,466
360,556,467
372,561,468
386,560,472
436,558,488
500,566,524
531,949,670
497,782,617
586,653,599
574,540,484
516,588,555
733,597,506
412,758,313
457,722,592
492,622,560
426,640,552
528,695,565
505,645,511
491,660,521
508,682,562
513,675,545
477,687,529
