#######################,###### LOG FILE #######,#######################
2009-01-23 18:01:09
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 50
Sexo:, Feminino
Actividade:, Cair para a direita
#######################,#######################,#######################

X,Y,Z
84,499,505
345,530,502
337,544,504
338,545,503
340,548,494
334,563,486
364,552,464
383,552,457
415,527,441
442,594,448
575,558,316
732,545,262
573,419,364
502,403,436
451,499,446
381,444,413
359,421,357
408,416,376
474,426,384
440,473,411
442,434,376
435,442,386
442,417,386
444,456,408
