#######################,###### LOG FILE #######,#######################
2009-01-15 17:41:15
#######################,#######################,#######################
Idade:, 19
Altura:, 19
Peso:, 45
Sexo:, Feminino
Actividade:, Deitar
#######################,#######################,#######################

X,Y,Z
95,546,533
380,609,585
379,616,583
434,665,611
416,670,524
344,639,417
481,422,393
432,344,403
445,425,409
437,412,413
427,403,423
423,417,432
426,420,434
426,403,417
425,428,420
430,412,407
433,437,409
446,357,418
271,406,400
491,385,360
443,423,394
471,438,401
453,437,397
429,422,394
432,435,383
444,460,395
410,464,383
384,471,416
