#######################,###### LOG FILE #######,#######################
2009-01-23 17:47:22
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 68
Sexo:, Feminino
Actividade:, Deitar
#######################,#######################,#######################

X,Y,Z
100,546,563
343,569,560
364,619,628
495,652,572
360,625,418
400,579,338
461,567,428
532,653,340
542,608,358
487,625,387
536,627,405
448,602,389
502,658,389
456,630,411
491,630,378
492,624,400
485,635,397
482,631,397
488,633,390
482,633,394
485,629,395
484,620,385
477,622,379
485,637,395
496,652,409
484,637,406
493,637,403
461,639,372
473,630,386
473,614,393
505,652,398
