#######################,###### LOG FILE #######,#######################
2009-01-22 17:26:41
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 70
Sexo:, Feminino
Actividade:, Correr
#######################,#######################,#######################

X,Y,Z
88,468,458
564,415,504
483,483,493
199,488,376
426,533,579
541,622,492
0,599,505
479,536,487
578,561,497
0,634,451
507,566,506
492,462,494
401,580,545
323,456,410
304,535,490
584,582,492
38,697,18
494,548,468
508,486,478
469,527,552
378,616,561
560,547,493
125,721,552
446,525,483
527,473,508
409,683,568
420,578,599
371,524,508
57,791,382
441,521,438
494,490,485
159,438,391
369,597,471
462,513,535
466,625,554
439,513,426
566,462,507
103,650,455
504,573,461
368,542,506
444,651,606
11,501,484
548,460,515
532,470,489
0,900,468
358,509,513
499,581,529
38,446,452
430,522,456
563,456,483
0,733,417
527,547,476
297,490,419
526,616,491
0,535,486
558,537,493
483,488,478
0,894,483
387,570,500
435,640,501
195,462,376
562,476,481
49,694,498
543,517,467
364,745,531
454,544,476
484,480,466
0,735,481
473,585,489
347,515,468
482,652,549
56,438,439
491,567,508
463,497,473
0,734,500
519,581,510
387,436,447
478,634,521
0,533,478
454,546,462
523,498,495
26,732,522
526,514,474
296,548,467
505,614,530
0,607,397
536,575,474
415,450,462
426,597,533
310,493,401
317,529,462
495,569,514
252,610,479
469,545,449
502,434,508
431,602,505
266,461,400
387,621,440
414,541,526
276,605,468
249,586,463
370,529,469
467,538,442
283,546,395
375,542,370
