#######################,###### LOG FILE #######,#######################
2009-01-23 17:46:46
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 68
Sexo:, Feminino
Actividade:, Correr
#######################,#######################,#######################

X,Y,Z
108,568,596
296,584,536
558,602,520
78,632,694
380,555,533
478,577,514
462,408,527
299,495,506
489,491,495
481,586,554
317,709,560
163,628,577
344,591,457
599,514,551
426,625,650
36,509,548
339,488,521
581,689,530
0,720,812
414,493,464
514,538,546
409,679,585
372,466,499
299,581,556
592,512,487
324,691,674
273,526,527
339,546,488
504,564,546
134,649,732
238,486,504
403,512,569
614,529,561
0,586,299
416,583,561
515,543,562
470,574,465
250,511,525
588,699,524
251,591,565
345,638,508
564,495,471
327,776,739
318,504,622
261,601,652
399,541,450
443,596,566
278,591,576
460,507,413
448,618,614
43,394,545
303,513,507
518,584,515
544,569,571
0,507,532
558,557,528
476,469,556
248,858,666
323,453,423
336,597,534
612,531,468
144,720,565
341,571,519
532,378,503
455,554,569
57,391,495
455,572,532
455,631,635
0,513,409
458,519,547
512,503,520
67,926,536
476,477,524
320,588,524
458,525,524
373,720,582
24,546,543
452,521,459
546,449,534
148,954,554
374,529,488
356,400,475
256,682,509
321,566,510
479,536,546
511,498,548
0,372,466
405,463,456
363,547,597
549,624,643
0,482,0
419,470,579
499,652,461
381,532,528
167,603,612
374,630,571
432,521,476
415,546,522
210,603,458
335,540,525
340,545,488
384,594,470
383,549,540
364,588,511
