#######################,###### LOG FILE #######,#######################
2008-11-20 16:30:57
#######################,#######################,#######################
Idade:, 24
Altura:, 1.64
Peso:, 60
Sexo:, Feminino
Actividade:, Cair para a frente
#######################,#######################,#######################

X,Y,Z
85,489,510
367,471,470
363,516,512
345,521,516
357,512,504
356,506,511
369,532,480
355,505,462
373,513,461
453,515,436
385,469,407
319,524,428
393,475,458
415,521,524
271,285,667
401,340,702
618,131,530
466,478,530
629,101,271
504,469,550
471,194,406
431,467,522
431,333,434
412,424,526
428,346,480
392,436,528
380,407,500
379,438,505
358,443,517
360,445,521
366,426,499
340,483,526
347,453,476
320,469,519
357,494,510
327,498,542
249,410,636
341,551,555
377,523,492
329,440,564
383,424,489
351,437,496
359,418,514
386,428,538
435,403,510
342,417,512
