#######################,###### LOG FILE #######,#######################
2009-01-15 17:52:50
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 51
Sexo:, Feminino
Actividade:, Caminhar
#######################,#######################,#######################

X,Y,Z
81,524,568
349,567,532
359,530,512
375,513,481
332,541,479
280,612,517
399,521,574
346,565,510
397,568,521
352,542,507
251,447,467
348,622,556
363,538,487
349,515,481
267,657,584
391,533,570
329,539,500
354,530,498
285,516,482
375,627,583
390,527,504
398,491,552
416,539,533
336,517,514
304,470,507
335,605,585
305,480,543
367,560,499
332,527,478
335,550,470
269,595,543
380,548,584
363,536,513
358,541,510
345,538,497
256,537,534
407,610,535
320,508,525
365,529,491
311,569,464
339,520,507
351,599,538
401,556,536
320,496,490
327,522,490
290,605,559
325,512,538
377,549,504
355,531,498
268,579,538
406,483,544
278,597,504
390,536,511
369,511,495
298,470,476
321,579,581
344,545,553
376,517,497
340,528,482
346,538,505
203,595,533
393,532,579
309,545,520
376,547,517
368,516,505
295,494,483
307,578,552
401,543,534
316,542,509
355,511,485
355,533,480
364,526,512
331,638,573
264,631,567
423,533,549
286,545,504
381,504,514
363,546,487
233,646,517
438,510,544
253,506,473
387,544,537
321,482,504
326,643,573
325,501,550
388,525,510
332,546,489
352,543,502
213,646,568
365,550,602
317,538,526
426,485,524
351,513,504
336,549,504
347,533,561
330,522,499
334,535,485
342,549,501
352,527,499
340,530,493
344,539,498
345,545,505
341,537,490
332,547,492
