#######################,###### LOG FILE #######,#######################
2009-01-23 17:31:42
#######################,#######################,#######################
Idade:, 18
Altura:, 18
Peso:, 56
Sexo:, Feminino
Actividade:, Cair para a esquerda
#######################,#######################,#######################

X,Y,Z
80,497,473
334,525,477
346,527,476
343,534,482
335,531,482
334,501,474
324,549,472
338,502,479
374,517,487
589,583,354
464,580,427
360,497,305
433,524,677
507,524,389
518,555,372
542,549,374
520,448,287
491,523,338
488,500,369
521,503,367
512,501,340
510,501,347
513,503,343
