#######################,###### LOG FILE #######,#######################
2009-01-15 17:32:17
#######################,#######################,#######################
Idade:, 18
Altura:, 18
Peso:, 45
Sexo:, Feminino
Actividade:, Levantar depois de Deitar
#######################,#######################,#######################

X,Y,Z
103,637,397
434,613,370
430,581,379
419,584,437
382,559,404
337,519,452
311,537,528
328,544,565
321,534,606
333,509,633
354,519,638
376,537,625
351,531,585
367,542,577
377,562,577
387,542,550
405,550,565
391,546,559
343,554,563
370,542,553
349,539,544
344,536,548
333,541,540
334,534,536
