#######################,###### LOG FILE #######,#######################
2009-01-23 17:49:52
#######################,#######################,#######################
Idade:, 17
Altura:, 17
Peso:, 59
Sexo:, Masculino
Actividade:, Sentar
#######################,#######################,#######################

X,Y,Z
104,557,474
373,542,472
391,566,445
355,569,434
368,555,434
355,571,431
377,556,409
363,564,394
402,525,399
388,493,390
349,481,421
369,483,407
355,472,406
397,477,406
382,478,414
376,474,424
365,471,405
367,488,429
368,478,427
373,475,430
369,480,420
374,471,418
375,482,421
362,475,422
