#######################,###### LOG FILE #######,#######################
2008-09-30 20:19:02
#######################,#######################,#######################
Idade:, 12
Altura:, 1.56
Peso:, 55
Sexo:, Masculino
Actividade:, Cair para a frente
#######################,#######################,#######################

X,Y,Z
95,536,500
369,558,497
410,566,507
376,586,495
409,595,557
430,355,423
428,237,397
333,698,592
688,462,519
510,837,768
540,595,615
520,640,502
541,651,530
408,697,604
414,724,481
413,612,439
402,662,514
419,715,585
530,661,559
382,754,545
376,598,510
524,620,491
454,674,522
465,685,583
452,628,479
460,703,490
527,717,557
463,692,551
536,716,470
438,634,494
