#######################,###### LOG FILE #######,#######################
2009-01-15 17:34:07
#######################,#######################,#######################
Idade:, 18
Altura:, 18
Peso:, 45
Sexo:, Feminino
Actividade:, Correr
#######################,#######################,#######################

X,Y,Z
91,515,681
151,496,490
325,577,586
530,472,464
265,455,586
240,498,472
470,501,532
159,529,513
340,536,565
594,421,468
216,500,531
265,485,501
393,534,533
522,495,576
545,427,527
373,525,700
238,469,515
325,553,546
127,608,411
172,477,505
363,515,599
538,504,452
111,506,510
226,529,471
518,515,509
439,485,686
216,536,508
376,502,526
537,476,495
203,387,561
258,464,468
390,521,493
25,507,401
220,590,495
413,488,567
541,512,530
59,600,316
342,580,569
476,500,514
233,506,576
516,489,496
514,538,454
72,505,496
423,506,562
85,592,594
255,510,479
482,537,517
494,541,524
96,501,474
318,510,519
511,496,522
459,467,580
132,568,376
529,530,495
416,479,679
197,597,498
313,510,626
576,495,469
210,535,479
334,547,490
444,484,481
496,536,612
219,562,512
264,535,544
607,454,457
160,561,599
295,646,547
407,514,494
493,520,547
237,634,264
239,568,522
465,464,531
488,495,620
386,516,493
526,515,531
360,592,571
50,640,787
383,532,488
545,579,532
30,463,350
265,487,545
381,495,543
595,454,496
10,557,695
382,479,563
449,534,519
0,1021,124
327,534,573
433,524,541
476,471,586
490,574,557
402,536,704
390,537,521
403,533,550
294,526,567
420,476,461
328,526,492
389,506,483
345,509,464
