#######################,###### LOG FILE #######,#######################
2009-01-22 17:50:17
#######################,#######################,#######################
Idade:, 16
Altura:, 16
Peso:, 56
Sexo:, Feminino
Actividade:, Deitar
#######################,#######################,#######################

X,Y,Z
100,579,501
363,583,484
401,606,499
256,555,427
333,496,434
369,445,422
395,372,414
463,377,434
436,373,434
449,397,459
434,424,469
391,389,451
402,405,467
412,410,477
419,403,466
404,403,460
415,409,463
423,399,474
413,412,474
424,403,469
413,400,476
405,402,467
413,395,468
420,407,462
413,403,463
411,392,470
406,402,461
409,398,477
406,416,461
403,401,469
407,394,480
427,403,471
411,400,469
406,399,472
416,395,471
408,405,464
407,408,473
413,398,479
408,396,468
417,400,471
422,404,477
419,407,471
418,403,472
418,396,472
428,403,478
411,402,477
419,395,474
419,401,474
408,397,474
414,403,469
427,398,470
410,410,480
418,406,475
422,399,474
415,400,480
417,401,477
413,400,475
415,405,475
429,399,475
420,399,480
412,399,477
409,408,482
416,399,473
417,407,465
408,409,471
410,409,469
408,402,472
406,401,479
406,404,474
